"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Stewart, Brock",592779,"MIN","FF","4-Seamer",0.6,1,"171",39,"34","0.233","0.367","0.31",51.1,47.1,33.3,"0.192","0.391","0.298",50
"Hentges, Sam",656529,"CLE","SIFT","Sinker",0.4,0,"113",13.3,"34","0.267","0.367","0.326",17.5,8.8,20,"0.292","0.428","0.355",33.3
"Martin, Chris",455119,"BOS","SIFT","Sinker",4.1,4,"108",15,"34","0.273","0.273","0.259",6.8,2.9,5,"0.244","0.289","0.244",15.6
"Edwards Jr., Carl",605218,"WSH","CH","Changeup",2,3,"133",23.5,"34","0.188","0.188","0.226",32.3,23.5,19.5,"0.21","0.279","0.242",25
"Voth, Austin",608723,"BAL","CUKC","Curveball",-1.5,-3,"191",28.8,"34","0.303","0.545","0.371",24.4,8.8,6.1,"0.247","0.423","0.294",36.7
"Ferrer, Jose A.",678606,"WSH","CH","Changeup",-2,-3,"147",26.3,"34","0.273","0.364","0.29",31.9,26.5,16.4,"0.235","0.293","0.242",16.7
"Dodd, Dylan",689266,"ATL","CH","Changeup",-3.7,-4,"101",17.8,"34","0.355","0.516","0.406",20.4,11.8,11.4,"0.286","0.465","0.35",29.6
"Luzardo, Jesús",666200,"MIA","SIFT","Sinker",-0.7,-1,"113",3.8,"34","0.344","0.75","0.472",9.4,2.9,5,"0.355","0.609","0.427",35.5
"Garcia, Luis",677651,"HOU","FF","4-Seamer",-2.3,-3,"144",31,"34","0.407","0.741","0.526",12.1,11.8,16,"0.39","0.715","0.507",62.5
"Vodnik, Victor",680767,"COL","FF","4-Seamer",-2.3,-3,"132",71,"34","0.419","0.516","0.437",18.8,20.6,16.7,"0.282","0.405","0.329",45.8
"Borucki, Ryan",621366,"PIT","ST","Sweeper",3.7,3,"73",13.8,"34","0.088","0.265","0.144",35.3,47.1,28.6,"0.143","0.285","0.181",11.1
"Boyd, Matthew",571510,"DET","SIFT","Sinker",0.9,1,"82",7,"34","0.207","0.207","0.262",24.4,20.6,29.2,"0.237","0.301","0.3",31.8
"Lugo, Seth",607625,"SD","CH","Changeup",-2.1,-3,"140",5.9,"34","0.303","0.576","0.406",33.8,14.7,15.6,"0.337","0.507","0.372",53.6
